"time","target","action","kind","id","label","status","batch","detail"
"2026-09-03T21:29:54+0200","wikidata","quickstatements","batch","wikidata/wikidata-papers.qs","wikidata-papers","prepared","wikidata-papers","1025 commands"
"2026-09-03T21:29:54+0200","wikidata","quickstatements","batch","wikidata/wikidata-certificates.qs","wikidata-certificates","prepared","wikidata-certificates","1895 commands"
"2026-09-03T21:29:56+0200","wikibase","edit","page","Project:Wikidata export","wikidata preview","done",NA,NA
"2026-09-03T21:40:35+0200","wikidata","quickstatements","batch","wikidata/wikidata-works.qs","wikidata-works","prepared","wikidata-works","433 commands"
"2026-09-03T21:40:35+0200","wikidata","quickstatements","batch","wikidata/wikidata-certificates.qs","wikidata-certificates","prepared","wikidata-certificates","1946 commands"
"2026-09-03T21:40:37+0200","wikibase","edit","page","Project:Wikidata export","wikidata preview","done",NA,NA
"2026-09-03T21:43:53+0200","wikidata","quickstatements","batch","https://editgroups.toolforge.org/b/QSv2T/1788464327978","wikidata-works","submitted","wikidata-works","foreground run, EditGroups id; no QuickStatements batch page"
"2026-09-03T21:44:14+0200","wikidata","quickstatements","batch","wikidata/wikidata-certificates.qs","wikidata-certificates","prepared","wikidata-certificates","1985 commands"
"2026-09-03T21:46:48+0200","wikidata","quickstatements","batch","wikidata/wikidata-certificates.qs","wikidata-certificates","prepared","wikidata-certificates","1985 commands"
"2026-09-03T21:47:33+0200","wikidata","quickstatements","batch","wikidata/wikidata-certificates.qs","wikidata-certificates","prepared","wikidata-certificates","1985 commands"
"2026-09-03T21:50:36+0200","wikidata","quickstatements","batch","https://quickstatements.toolforge.org/#/batch/270374","wikidata-certificates","submitted","wikidata-certificates","background run, batch #270374 ""CODECHECK Register certificates"""
"2026-09-03T21:53:41+0200","wikidata","quickstatements","batch","wikidata/wikidata-certificates.qs","wikidata-certificates","prepared","wikidata-certificates","628 commands"
"2026-09-03T21:57:39+0200","wikidata","quickstatements","batch","https://editgroups.toolforge.org/b/QSv2/270378","wikidata-certificates","submitted","wikidata-certificates","batch #270378, the 42 rejected by the rate limit in #270374; 42 DONE, 0 ERROR"
"2026-09-06T20:53:20+0200","wikidata","quickstatements","batch","wikidata/wikidata-certificates.qs","wikidata-certificates","prepared","wikidata-certificates","15 commands"
"2026-09-06T21:04:57+0200","wikidata","quickstatements","batch","https://editgroups.toolforge.org/b/QSv2T/1788721456169/","fix-2023-011","submitted","fix-2023-011","corrected P356 on Q141269577 from the concept DOI ...8359199 to the version DOI ...8359200"
"2026-09-07T09:54:45+0200","wikidata","quickstatements","batch",NA,"merge-2020-001","submitted","merge-2020-001","merged Q141269511 into Q116702174; the Den line was rejected (label+description already taken by the source), so the source kept its description and no redirect was created"
"2026-09-07T10:03:32+0200","wikidata","quickstatements","batch","https://editgroups.toolforge.org/b/QSv2T/1788768056166","merge-2020-001-cleanup","submitted","merge-2020-001-cleanup","cleared the source description, aligned the target description, merged again; Q141269511 now redirects to Q116702174"
